[Worker:RC_2025-09.zst] Starting scan
[Worker:RC_2025-12.zst] Starting scan
[Worker:RC_2025-09.zst] comments=10,100,000 active_words=6,423 remaining=84
[Worker:RC_2025-12.zst] comments=10,100,000 active_words=6,423 remaining=98
[Worker:RC_2025-09.zst] comments=10,200,000 active_words=6,423 remaining=80
[Worker:RC_2025-12.zst] comments=10,200,000 active_words=6,423 remaining=86
[Worker:RC_2025-09.zst] comments=10,300,000 active_words=6,423 remaining=76
[Worker:RC_2025-12.zst] comments=10,300,000 active_words=6,423 remaining=81
[Worker:RC_2025-09.zst] comments=10,400,000 active_words=6,423 remaining=70
[Worker:RC_2025-12.zst] comments=10,400,000 active_words=6,423 remaining=73
[Worker:RC_2025-09.zst] comments=10,500,000 active_words=6,423 remaining=67
[Worker:RC_2025-12.zst] comments=10,500,000 active_words=6,423 remaining=67
[Worker:RC_2025-09.zst] comments=10,600,000 active_words=6,423 remaining=62
[Worker:RC_2025-12.zst] comments=10,600,000 active_words=6,423 remaining=59
[Worker:RC_2025-09.zst] comments=10,700,000 active_words=6,423 remaining=59
[Worker:RC_2025-12.zst] comments=10,700,000 active_words=6,423 remaining=51
[Worker:RC_2025-09.zst] comments=10,800,000 active_words=6,423 remaining=55
[Worker:RC_2025-12.zst] comments=10,800,000 active_words=6,423 remaining=47
[Worker:RC_2025-09.zst] comments=10,900,000 active_words=6,423 remaining=52
[Worker:RC_2025-12.zst] comments=10,900,000 active_words=6,423 remaining=45
[Worker:RC_2025-09.zst] comments=11,000,000 active_words=6,423 remaining=46
[Worker:RC_2025-12.zst] comments=11,000,000 active_words=6,423 remaining=42
[Worker:RC_2025-12.zst] comments=11,100,000 active_words=6,423 remaining=36
[Worker:RC_2025-09.zst] comments=11,100,000 active_words=6,423 remaining=39
[Worker:RC_2025-12.zst] comments=11,200,000 active_words=6,423 remaining=31
[Worker:RC_2025-09.zst] comments=11,200,000 active_words=6,423 remaining=37
[Worker:RC_2025-12.zst] comments=11,300,000 active_words=6,423 remaining=28
